Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane,2180, C5,-20.24,53.73,0,0,0,0,0,0,-20.24,-9.47,0.19
0.1, x-dummy-plane,2013, C5,20.24,63.3,0,0,0,0,0,0,20.24,17.81,-3.64
0.1, x-dummy-plane,729, C6,-20.24,24.72,0,0,0,0,0,0,-20.24,5.31,-15.75
0.1, x-dummy-plane,202, C5,-20.26,67.19,0,0,0,0,0,0,-20.26,-3.6,-21.43
0.1, x-dummy-plane,2589, C6,20.27,39.38,0,0,0,0,0,0,20.27,-9.38,6.5
0.1, x-dummy-plane,3411, C5,20.27,25.58,0,0,0,0,0,0,20.27,0.67,16.11
0.1, x-dummy-plane,625, C6,20.27,58.04,0,0,0,0,0,0,20.27,-11.05,-18.82
0.1, x-dummy-plane,2706, C7,20.29,70.25,0,0,0,0,0,0,20.29,4.05,7.21
0.1, x-dummy-plane,2060, C5,-20.31,76.06,0,0,0,0,0,0,-20.31,24.72,-0.61
0.1, x-dummy-plane,552, C5,20.32,61.11,0,0,0,0,0,0,20.32,-22.66,-16.26
0.1, x-dummy-plane,554, C6,20.32,50.82,0,0,0,0,0,0,20.32,-24.84,-15.99
0.1, x-dummy-plane,1813, C6,20.32,59.87,0,0,0,0,0,0,20.32,-10.24,-1.42
0.1, x-dummy-plane,2215, C7,-20.33,50.41,0,0,0,0,0,0,-20.33,-2.48,-0.65
0.1, x-dummy-plane,1696, C7,20.34,83.68,0,0,0,0,0,0,20.34,-21.35,-1.98
0.1, x-dummy-plane,2434, C6,-20.34,58.45,0,0,0,0,0,0,-20.34,-20.98,5.5
0.1, x-dummy-plane,880, C5,20.34,53.07,0,0,0,0,0,0,20.34,22.92,-15.73
0.1, x-dummy-plane,1782, C5,20.35,86.13,0,0,0,0,0,0,20.35,-13.57,-5.8
0.1, x-dummy-plane,3340, C6,20.36,52.87,0,0,0,0,0,0,20.36,-7.46,13.51
